City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,whitehorse,60.7161,-135.0538,43.72,60,100,5.1,CA,1713835970
1,qarazhal,48.0078,70.7903,60.89,61,5,10.51,KZ,1713836124
2,blackmans bay,-43.0167,147.3167,64.24,40,100,4.97,AU,1713836124
3,freetown,8.484,-13.2299,78.06,82,97,5.12,SL,1713836125
4,hamilton,39.1834,-84.5333,50.65,65,100,5.23,US,1713836125
5,mbandjok,4.45,11.9,68.49,96,100,1.34,CM,1713836125
6,vung tau,10.346,107.0843,84.09,68,71,9.06,VN,1713836125
7,puerto aysen,-45.4,-72.7,38.93,96,100,4.0,CL,1713836125
8,port mathurin,-19.6833,63.4167,79.93,85,94,15.05,MU,1713836126
9,port saint john's,-31.6229,29.5448,70.02,90,99,3.36,ZA,1713836126
10,yellowknife,62.456,-114.3525,35.4,73,100,10.74,CA,1713836126
11,avarua,-21.2078,-159.775,77.83,69,100,8.25,CK,1713836126
12,adamstown,-25.066,-130.1015,72.95,76,99,23.0,PN,1713836126
13,parasia,22.2,78.7667,81.05,45,10,3.33,IN,1713836127
14,uturoa,-16.7333,-151.4333,82.94,73,12,4.25,PF,1713836127
15,baringo,0.4667,35.9667,71.65,80,100,2.89,KE,1713836127
16,margaret river,-33.95,115.0667,62.29,44,0,11.7,AU,1713835936
17,invercargill,-46.4,168.35,55.96,71,100,6.8,NZ,1713835837
18,terebovlya,49.3019,25.71,40.86,86,100,2.86,UA,1713836128
19,waitangi,-43.9535,-176.5597,52.2,70,100,32.75,NZ,1713836128
20,troitsko-pechorsk,62.7084,56.1964,25.68,80,100,7.16,RU,1713836128
21,porbandar,21.6422,69.6093,78.71,76,2,12.39,IN,1713836128
22,saint-pierre,-21.3393,55.4781,77.07,81,0,3.51,RE,1713836129
23,puerto ayora,-0.7393,-90.3518,75.87,90,19,9.44,EC,1713836129
24,ilulissat,69.2167,-51.1,24.31,94,88,6.06,GL,1713836129
25,sungai raya,0.7,108.9,82.89,85,100,1.95,ID,1713836129
26,isafjordur,66.0755,-23.124,36.86,70,60,2.91,IS,1713836129
27,ushuaia,-54.8,-68.3,35.13,99,100,1.25,AR,1713836130
28,hasaki,35.7333,140.8333,61.47,72,100,14.12,JP,1713836130
29,motueka,-41.1333,173.0167,59.85,61,4,6.04,NZ,1713836130
30,longyearbyen,78.2186,15.6401,19.04,87,83,8.1,SJ,1713835974
31,kerikeri,-35.2268,173.9474,67.68,48,0,7.72,NZ,1713836130
32,sovetskiy,61.3614,63.5842,18.99,86,30,4.07,RU,1713836130
33,port-aux-francais,-49.35,70.2167,44.53,81,95,28.32,TF,1713836131
34,grytviken,-54.2811,-36.5092,32.11,91,51,12.8,GS,1713836131
35,punta arenas,-53.15,-70.9167,43.32,84,100,9.1,CL,1713836131
36,severodvinsk,64.5635,39.8302,30.88,90,100,18.14,RU,1713836132
37,new plymouth,-39.0667,174.0833,61.74,59,2,8.1,NZ,1713836132
38,ta`u,-14.2336,-169.5144,83.86,78,16,11.74,AS,1713836132
39,viqueque,-8.8673,126.3658,84.06,63,21,4.88,TL,1713836132
40,northam,51.0333,-4.2167,47.32,86,100,1.5,GB,1713836132
41,laascaanood,8.4774,47.3597,76.39,70,55,8.28,SO,1713836133
42,coruripe,-10.1256,-36.1756,78.91,84,92,4.05,BR,1713836133
43,lihue,21.9789,-159.3672,75.04,66,2,14.83,US,1713836047
44,makeni,8.8833,-12.05,77.94,79,74,1.72,SL,1713836133
45,stanley,54.868,-1.6985,39.94,85,100,10.25,GB,1713836133
46,the pas,53.8251,-101.2541,38.55,74,100,11.83,CA,1713836133
47,preobrazheniye,42.9019,133.9064,48.22,65,11,11.56,RU,1713836134
48,port elizabeth,-33.918,25.5701,60.49,89,95,3.09,ZA,1713836134
49,inhambane,-23.865,35.3833,70.65,85,11,10.11,MZ,1713836135
50,edinburgh of the seven seas,-37.0676,-12.3116,64.74,82,100,26.84,SH,1713836135
51,castillos,-34.1667,-53.8333,65.55,96,85,7.83,UY,1713836135
52,lata,40.1629,-8.3327,48.47,58,0,5.75,PT,1713835899
53,papatowai,-46.5619,169.4708,59.32,61,89,12.03,NZ,1713836135
54,jiazi,22.8779,116.067,80.06,84,100,12.03,CN,1713836135
55,hithadhoo,-0.6,73.0833,82.71,78,100,4.94,MV,1713836136
56,bethel,41.3712,-73.414,39.92,52,0,2.53,US,1713835866
57,kendari,-3.945,122.4989,76.48,96,100,1.92,ID,1713836136
58,wick,58.4333,-3.0833,41.83,79,78,9.42,GB,1713836136
59,anadyr,64.75,177.4833,18.66,69,93,5.48,RU,1713836136
60,puerto natales,-51.7236,-72.4875,37.74,91,99,5.91,CL,1713836137
61,kafin hausa,12.2375,9.908,84.04,51,31,14.25,NG,1713836137
62,tazacorte,28.629,-17.9293,68.43,72,67,1.72,ES,1713836137
63,olonkinbyen,70.9221,-8.7187,26.62,69,0,15.59,SJ,1713836137
64,shingu,33.7333,135.9833,61.88,95,100,9.69,JP,1713836137
65,ibarreta,-25.2144,-59.8585,83.5,62,100,6.93,AR,1713836138
66,lebu,-37.6167,-73.65,51.31,78,72,0.25,CL,1713836138
67,ust-nera,64.5667,143.2,31.82,88,100,2.62,RU,1713836138
68,nogliki,51.8333,143.1667,38.95,73,53,8.61,RU,1713836138
69,utrik,11.2278,169.8474,80.94,85,58,18.23,MH,1713836139
70,codrington,-38.2667,141.9667,72.23,30,100,17.76,AU,1713836139
71,ust-tsilma,65.441,52.1498,13.1,85,100,6.11,RU,1713836139
72,thompson,55.7435,-97.8558,18.9,88,99,11.74,CA,1713836139
73,badger,64.8,-147.5333,43.97,75,100,4.18,US,1713836140
74,la ceiba,15.7597,-86.7822,80.33,84,40,9.28,HN,1713836140
75,east london,-33.0153,27.9116,65.43,76,99,5.03,ZA,1713836140
76,altai,46.3722,96.2583,45.99,24,15,12.17,MN,1713836140
77,raduzhny,62.0961,77.475,11.41,89,100,12.24,RU,1713836140
78,tolanaro,-25.0319,46.9987,68.29,88,53,4.38,MG,1713836141
79,lyskovo,56.0328,45.0422,48.06,85,100,8.34,RU,1713836141
80,urengoy,65.9667,78.3667,5.23,92,100,12.37,RU,1713836141
81,ulsteinvik,62.3432,5.8487,37.69,80,100,10.47,NO,1713836141
82,flying fish cove,-10.4217,105.6791,79.09,89,100,22.41,CX,1713836141
83,musoma,-1.5,33.8,67.75,89,100,9.4,TZ,1713836142
84,aral,40.5156,81.2636,69.82,28,37,8.57,CN,1713836142
85,udachny,66.4167,112.4,31.32,99,100,4.18,RU,1713836142
86,bilibino,68.0546,166.4372,16.68,78,99,9.24,RU,1713836142
87,bardai,11.65,7.2333,83.19,39,57,7.29,NG,1713836142
88,bryan,30.6744,-96.37,58.3,67,0,6.73,US,1713835964
89,sao joaquim,-28.2939,-49.9317,55.42,94,100,3.29,BR,1713836143
90,illizi,26.4833,8.4667,68.29,35,30,7.96,DZ,1713836143
91,chibougamau,49.9168,-74.3659,22.46,95,100,8.23,CA,1713836143
92,vadso,70.0744,29.7487,25.47,90,100,14.74,NO,1713836143
93,watari,38.035,140.8511,51.76,82,100,9.48,JP,1713836144
94,ar rutbah,33.0381,40.2848,64.06,41,0,8.75,IQ,1713836144
95,lompoc,34.6391,-120.4579,55.96,84,0,7.61,US,1713836144
96,takelsa,36.7833,10.6333,54.63,72,3,22.32,TN,1713836144
